	rets	annret	annrtnz	stdz	std	sharpez	sharpe	sharpenz
UNM	0.278	0.052	0.328	0.122	0.287	0.431	0.184	1.142
WBA	0.157	0.031	0.254	0.085	0.23	0.367	0.135	1.104
ADBE	0.112	0.022	0.152	0.105	0.265	0.213	0.084	0.572
PCL	0.001	0.0	0.001	0.09	0.213	0.002	0.0	0.005
ETN	-0.001	-0.0	-0.001	0.119	0.317	-0.002	-0.0	-0.005
WYN	0.651	0.111	0.728	0.131	0.297	0.846	0.373	2.45
DE	0.578	0.1	0.637	0.115	0.26	0.871	0.386	2.451
STJ	-0.057	-0.012	-0.054	0.135	0.289	-0.09	-0.042	-0.189
STT	-0.158	-0.035	-0.192	0.153	0.373	-0.231	-0.095	-0.516
UA	-0.204	-0.046	-0.199	0.171	0.369	-0.272	-0.126	-0.539
APH	0.134	0.026	0.128	0.139	0.297	0.192	0.09	0.43
BLK	0.175	0.034	0.186	0.138	0.311	0.249	0.111	0.6
PRGO	0.233	0.045	0.362	0.093	0.245	0.483	0.183	1.473
SWN	0.136	0.027	0.161	0.129	0.305	0.21	0.089	0.528
BEN	-0.003	-0.0	-0.004	0.11	0.271	-0.006	-0.002	-0.016
MCO	-0.079	-0.017	-0.101	0.13	0.323	-0.132	-0.053	-0.314
XEC	-0.196	-0.045	-0.25	0.171	0.429	-0.261	-0.104	-0.582
FTR	-0.048	-0.01	-0.042	0.144	0.294	-0.072	-0.035	-0.145
SNA	0.239	0.046	0.227	0.127	0.271	0.361	0.169	0.836
GIS	0.095	0.019	0.126	0.055	0.137	0.349	0.14	0.918
RCL	0.463	0.083	0.684	0.166	0.422	0.501	0.197	1.62
BCR	-0.139	-0.03	-0.137	0.098	0.212	-0.315	-0.145	-0.646
VZ	0.458	0.082	0.811	0.056	0.151	1.45	0.544	5.356
DNB	0.251	0.048	0.217	0.128	0.261	0.375	0.183	0.829
MAC	0.517	0.091	0.605	0.119	0.275	0.769	0.332	2.2
PLD	0.331	0.061	0.364	0.129	0.293	0.479	0.211	1.245
BBY	0.124	0.025	0.195	0.12	0.323	0.207	0.077	0.604
F	-0.007	-0.001	-0.008	0.115	0.259	-0.014	-0.006	-0.031
